seconds,raw_value,our-attention,attention,our_attention,blink,delta,theta,low-alpha,high-alpha,low-beta,high-beta,low-gamma,mid-gamma
5.823992014,32,0.292739325,17,0.292739325,0,1230404,153334,43992,46826,19255,12618,7502,13293
5.92772007,32,0.292739325,17,0.292739325,0,1230404,153334,43992,46826,19255,12618,7502,13293
6.030714989,32,0.292739325,17,0.292739325,0,1230404,153334,43992,46826,19255,12618,7502,13293
6.134449005,32,0.292739325,17,0.292739325,0,1230404,153334,43992,46826,19255,12618,7502,13293
6.23893404,6,0.292739325,17,0.292739325,0,1230404,153334,43992,46826,19255,12618,7502,13293
6.342605829,6,0.292739325,17,0.292739325,0,1230404,153334,43992,46826,19255,12618,7502,13293
6.447644949,6,0.292739325,17,0.292739325,0,1230404,153334,43992,46826,19255,12618,7502,13293
6.552288771,6,0.292739325,17,0.292739325,0,1230404,153334,43992,46826,19255,12618,7502,13293
6.656517982,-221,0.292739325,17,0.292739325,0,1230404,153334,43992,46826,19255,12618,7502,13293
6.760876894,-221,0.292739325,17,0.292739325,0,1230404,153334,43992,46826,19255,12618,7502,13293
6.86583209,-221,0.292739325,17,0.292739325,0,1230404,153334,43992,46826,19255,12618,7502,13293
6.970368147,-221,0.292739325,17,0.292739325,0,1230404,153334,43992,46826,19255,12618,7502,13293
7.074379206,-180,0.292739325,17,0.292739325,0,1230404,153334,43992,46826,19255,12618,7502,13293
7.179382801,19,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
7.279618979,19,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
7.384086132,19,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
7.488546848,19,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
7.592477083,11,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
7.696111917,11,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
7.800528049,11,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
7.905076027,11,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
8.009499073,11,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
8.113883972,11,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
8.218453169,11,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
8.322933912,11,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
8.42756319,11,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
8.532057047,11,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
8.636448145,11,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
8.741011143,11,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
8.845475912,11,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
8.9499259,11,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
9.050194979,16,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
9.153365135,16,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
9.257655859,16,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
9.362200975,16,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
9.466702938,16,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
9.571099043,-4,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
9.675681829,-4,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
9.780133009,325,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
9.884325981,20,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
9.988587141,20,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
10.09299397,20,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
10.19633508,20,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
10.29676294,20,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
10.40111899,20,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
10.50357699,20,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
10.60440516,20,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
10.70829701,20,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
10.81080699,20,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
10.9120779,20,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
11.01657677,20,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
11.12106514,20,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
11.22556305,20,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
11.33016205,20,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
11.43462801,20,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
11.53907585,20,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
11.64352918,7,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
11.74707222,7,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
11.85126686,7,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
11.95138693,7,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
12.05568695,-14,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
12.16022897,-14,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
12.26468492,-14,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
12.36928082,-14,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
12.47365117,-14,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
12.57818723,-14,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
12.68270493,-14,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
12.7871871,-14,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
12.89166903,-14,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
12.99613404,-20,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
13.1005652,-20,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
13.205158,-20,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
13.30975199,-20,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
13.41406989,-20,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
13.51865888,-20,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
13.62297678,32,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
13.72761297,32,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
13.83212709,32,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
13.93671203,32,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
14.04107094,32,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
14.14557195,32,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
14.25005603,32,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
14.35451603,32,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
14.45901394,32,0.097391192,11,0.097391192,0,904048,287089,111803,73224,42618,20580,10474,9010
